type,id,lon,lat
Path,1,-71.14702280431182,42.382700012186504
Path,2,-71.08874704685613,42.33920820901709
Path,3,-71.15695139529572,42.36637671817403
Path,4,-71.12488866710245,42.299441335748114
Path,5,-71.11764105916956,42.362615110491284
Path,6,-71.13574844181576,42.41488574981343
Path,7,-71.46081652121703,42.40160888527721
Path,8,-71.45712730677742,42.40351728737859
Path,9,-71.11906190038425,42.252803227183826
Path,10,-71.1837812312542,42.36261992119552
Path,11,-71.52711233441046,42.219147576154235
Path,12,-71.52827693266082,42.22386960853779
Path,13,-71.49061676439783,42.15177594268568
Path,14,-71.4969366646538,42.15032037754765
Path,15,-71.51317824866275,42.146074701799186
Path,16,-71.03648389310334,42.28397498892346
Path,17,-71.14249394784667,42.27569428577331
Path,18,-71.30241532516547,42.29549263999083
Path,19,-71.23047395587152,42.37303777986946
Path,20,-71.22617388539663,42.37094446070644
Path,21,-71.22106995241451,42.36801247255179
Path,22,-71.07278682791029,42.35814759641827
Path,23,-71.05854658129564,42.42873657238888
Path,24,-71.0355764869253,42.431213493737445
Path,25,-70.95242368433371,42.55907875643112
Path,26,-70.96471163628979,42.55745545655042
Path,27,-70.96939930547886,42.555212156975585
Path,28,-70.94357138079671,42.56364514118025
Path,29,-70.90638993303087,42.12566599915138
Path,30,-71.21362305829803,42.305457838856796
Path,31,-71.10232704466398,42.30277122177435
Path,32,-71.14655049953225,42.39597968269518
Path,33,-71.15162681387532,42.39597768024622
Path,34,-71.06917041441223,42.41256642380846
Path,35,-70.876927525895,42.572762278376125
Path,36,-71.08703098246164,42.3524277928354
Path,37,-71.09261501268634,42.351644408509266
Path,38,-71.09805694839275,42.35099937945664
Path,39,-71.12102259965285,42.301866920307184
Path,40,-71.04078764984334,42.17036042038479
Path,41,-71.16059534047555,42.46854778675236
Path,42,-71.23513977956725,42.460880830330154
Path,43,-71.08482186067019,42.45837633738188
Path,44,-71.04996308796927,42.43023354070378
Path,45,-71.06969770175016,42.423003096044695
Path,46,-71.0720509379711,42.41995126229057
Path,47,-70.90398541176646,42.60751402345462
Path,48,-70.90881045381627,42.610199063295276
Path,49,-70.91363191587313,42.6128878811224
Path,50,-70.91843260282937,42.615597014182825
Path,51,-70.9232485264678,42.61829144598575
Path,52,-70.92806237704387,42.62098815540302
Path,53,-71.1673327243306,42.34512795562494
Path,54,-71.1509708265845,42.36674611439693
Path,55,-70.91333822223271,42.23519572646726
Path,56,-71.28524677181264,42.350206788887576
Path,57,-71.2832848750367,42.34750783517018
Path,58,-70.84562254602805,42.22260931399072
Path,59,-70.83053074766107,42.21775218140155
Path,60,-70.8260507127828,42.21672262315025
Path,61,-70.8459903551954,42.22091406213519
Path,62,-70.86221991841772,42.20528324726958
Path,63,-71.02742975607315,42.45443877927804
Path,64,-71.23301512178122,42.37294655573022
Path,65,-70.70537013268466,42.65470591433199
Path,66,-71.12697033163964,42.24430488113648
Path,67,-71.35258442496558,42.46848166202808
Path,68,-71.28079338831427,42.40839365389093
Path,69,-71.23836578678909,42.37230978327668
Path,70,-70.92487360875877,42.226970871386115
Path,71,-71.47271674516871,42.047632820730755
Path,72,-71.46839756824934,42.050770075970036
Path,73,-71.46407796502083,42.05390716691066
Path,74,-71.02901430196512,42.3678653885644
Path,75,-70.84846681489562,42.233269632351956
Path,76,-70.84760223634306,42.237135448764285
Path,77,-71.07000733517206,42.36958414784463
Path,78,-71.14248965448037,42.3953243429747
Path,79,-71.02891825103913,42.28871394951472
Path,80,-71.11812745586349,42.29903185721325
Path,81,-71.16424630950365,42.36415470385224
Path,82,-71.09271079822686,42.34117743161417
Path,83,-71.0978397348725,42.33878124567081
Path,84,-71.13991684425592,42.40010098114377
Path,85,-71.13527284297082,42.28693109969912
Path,86,-71.18325249890759,42.36318504868632
Path,87,-71.17787749072968,42.360096366840146
Path,88,-71.17114889256632,42.36084251166493
Path,89,-71.46391575200606,42.40228861853393
Path,90,-71.46364461091243,42.40522454150338
Path,91,-71.46119622057567,42.40834780183567
Path,92,-71.16007344649066,42.36461682484978
Path,93,-71.02317275482979,42.29323871993633
Path,94,-71.05700915279652,42.381443420231335
Path,95,-71.15599058397525,42.4721877968286
Path,96,-71.06314632227672,42.3660960614019
