type,id,lon,lat
Open space,1,-71.41399338641033,42.50239963602143
Open space,2,-71.41057074421298,42.50841770782288
Open space,3,-71.40608558274603,42.512993091737144
Open space,4,-71.45299086291027,42.470736280426514
Open space,5,-71.439128867676,42.50043801487016
Open space,6,-71.40710411393069,42.50141327998522
Open space,7,-71.41505648082773,42.50352409312232
Open space,8,-71.4207421190778,42.498826414761616
Open space,9,-71.40690208348113,42.51049485824754
Open space,10,-71.44674005960935,42.46205399831668
Open space,11,-71.39619331866591,42.50162337155083
Open space,12,-71.47152832252758,42.46019209682717
Open space,13,-71.47365665967916,42.45909976158695
Open space,14,-71.47363243882785,42.459436254280504
Open space,15,-71.47310683311375,42.462217228124665
Open space,16,-71.44601335955724,42.46196243795222
Open space,17,-71.45068867493663,42.462338164866466
Open space,18,-71.45114946848784,42.46228309859074
Open space,19,-71.45268908783277,42.465927356418646
Open space,20,-71.45205488864579,42.467060958052926
Open space,21,-71.44317593116293,42.46715403481889
Open space,22,-71.45165193547504,42.467795309527666
Open space,23,-71.45160077517264,42.468204936343476
Open space,24,-71.45358930610776,42.4696102224012
Open space,25,-71.40141264967654,42.48637737070936
Open space,26,-71.39805427699498,42.48798755705771
Open space,27,-71.44179859473935,42.502331064422776
Open space,28,-71.43826844653373,42.50887383103898
Open space,29,-71.43563259736021,42.50834288229973
Open space,30,-71.41487179658543,42.50428147579435
Open space,31,-71.40497305686806,42.50980667357853
Open space,32,-71.4046902370237,42.50966839730416
Open space,33,-71.40461776099696,42.5120971744507
Open space,34,-71.40245286465654,42.513697198469146
Open space,35,-71.40537367686363,42.51349552838704
Open space,36,-71.38695472417193,42.5017618426619
Open space,37,-71.3997655661563,42.5087291761726
Open space,38,-71.4350454843461,42.50723927967671
Open space,39,-71.41172794238157,42.508600786173524
Open space,40,-71.52189788279104,42.26611839594647
Open space,41,-71.45321833502823,42.238417759829915
Open space,42,-71.46962619517288,42.27524343478953
Open space,43,-71.50472510712615,42.259219252346355
Open space,44,-71.47225224584433,42.23834934200434
Open space,45,-71.47545070441983,42.24150656613331
Open space,46,-71.48554808649212,42.26869996970158
Open space,47,-71.47612498615042,42.27048288829996
Open space,48,-71.49267836095197,42.270825636872665
Open space,49,-71.47295440990932,42.271512767407756
Open space,50,-71.47851014858315,42.27234229603252
Open space,51,-71.48291024570173,42.28446206421248
Open space,52,-71.4672498753059,42.278280936016735
