type,id,weight,lon,lat
higherEd,1,1588,-71.07069787833257,42.37000206516642
higherEd,2,939,-71.26619609273656,42.29794797839565
higherEd,3,609,-71.0769732736248,42.35179178879092
higherEd,4,1086,-71.22016698839953,42.388799737439385
higherEd,5,6999,-71.08937810065628,42.346564688124204
higherEd,6,139,-71.06271739974346,42.35459927295794
higherEd,7,737,-71.0857791365047,42.34848120102178
higherEd,8,130,-71.1330957173636,42.339175585940396
higherEd,9,13696,-71.16875421020306,42.33501258484496
higherEd,10,701,-71.19395305786118,42.341811693882185
higherEd,11,350,-71.16259369370378,42.34395771522027
higherEd,12,12579,-71.09967683886022,42.349595526277774
higherEd,13,3158,-71.07245455037878,42.33631331265256
higherEd,14,2137,-71.26006455489852,42.3657646160953
higherEd,15,11354,-71.07015258449404,42.37594663446543
higherEd,16,2356,-71.11096565702508,42.36884928221112
higherEd,17,210,-71.13714594735137,42.49326905697055
higherEd,18,988,-71.05829251861086,42.26084384857503
higherEd,19,207,-71.11473161834562,42.24083357121965
higherEd,20,368,-71.08240329588467,42.391060085135514
higherEd,21,289,-71.28997963155341,42.461493741418984
higherEd,22,164,-71.01100619984764,42.27119238551619
higherEd,23,1052,-71.06527692289977,42.35195568362261
higherEd,24,110,-71.10242074595185,42.34113266556528
higherEd,25,1691,-70.84334042223196,42.55336029412955
higherEd,26,1628,-71.07398565498683,42.35528424094513
higherEd,27,5456,-71.43607876384017,42.29800595272739
higherEd,28,64,-71.07012807341908,42.345987069659564
higherEd,29,350,-70.82148334497028,42.590493602411726
higherEd,30,1660,-71.08273186990985,42.32764641309276
higherEd,31,7872,-71.12104089863533,42.3757860522178
higherEd,32,2169,-71.10295057027804,42.33530265669391
higherEd,33,1773,-71.10411326001626,42.3355683977419
higherEd,34,2143,-71.12202249463213,42.37098648776314
higherEd,35,638,-71.11395296928194,42.375838266080564
higherEd,36,2637,-71.11883757139142,42.37906683399317
higherEd,37,4358,-71.12277652934678,42.366388452917455
higherEd,38,167,-71.18920975628215,42.325676664662204
higherEd,39,78,-71.12925130344284,42.31703243697982
higherEd,40,409,-71.24164419964895,42.34304057455578
higherEd,41,4510,-71.11729521478311,42.380281878283306
higherEd,42,255,-71.1234166946054,42.3785286579717
higherEd,43,15989,-71.03974438182789,42.31430994916769
higherEd,44,4048,-71.43603441287402,42.24209910078059
higherEd,45,7366,-71.10111863933591,42.33668125181708
higherEd,46,2095,-71.09876300787461,42.33678694167952
higherEd,47,6990,-71.09195983811621,42.359707841273234
higherEd,48,1563,-71.20329204855908,42.295048568826786
higherEd,49,57,-71.00158898099652,42.24718578836719
higherEd,50,6637,-71.10066893418838,42.18363504689956
higherEd,51,1199,-71.05391561377063,42.37494698837555
higherEd,52,346,-71.0863982339772,42.34095784472486
higherEd,53,157,-71.05454847152497,42.36283900074446
higherEd,54,2694,-70.94410723520411,42.46071716265943
higherEd,55,2694,-70.96871420766594,42.590067552037674
higherEd,56,22207,-71.08874739956129,42.33995110162254
higherEd,57,53,-71.31098436909045,42.339611857278534
higherEd,58,3401,-71.00348759861738,42.25246971071451
higherEd,59,1842,-71.31055271611865,42.35124811697719
higherEd,60,1674,-71.09552889772044,42.3292416919449
higherEd,61,111,-71.16267369558882,42.34433278775425
higherEd,62,7706,-70.89036154113693,42.50361369970885
higherEd,63,4774,-71.09985453736388,42.339336052976236
higherEd,64,7169,-71.06189896472947,42.358924080774145
higherEd,65,2731,-71.1183443381788,42.40850863459759
higherEd,66,3074,-71.0623709356073,42.35015500591656
higherEd,67,4449,-71.09524748764521,42.33686275812837
higherEd,68,54,-71.10413844155447,42.18213390769787
higherEd,69,261,-71.12617355584281,42.41478853778731
higherEd,70,148,-71.06839134198962,42.42896769206535
higherEd,71,79,-71.07662004541929,42.42744668762181
higherEd,72,768,-71.06418898868459,42.35289615149274
higherEd,73,100,-71.19173438667713,42.180996036792735
higherEd,74,386,-71.26395186113577,42.293446532356526
higherEd,75,6,-71.42215808742577,42.29780662735608
higherEd,76,151,-70.8493107670549,42.688582894820655
higherEd,77,165,-71.12739585011727,42.495702666759705
higherEd,78,157,-71.05655980827446,42.30630546478716
