type,id,lon,lat
o,1,-70.94207232867727,42.48671346221409
o,2,-70.93287104534438,42.47780177540521
o,3,-70.92793666567258,42.467345742860935
o,4,-70.91978727336053,42.5354793470307
o,5,-71.08570865072241,42.35151774616486
o,6,-71.05613752519169,42.366870448224994
o,7,-71.13509589176701,42.290247104774565
o,8,-71.15123056973131,42.26001600043869
o,9,-71.037878525248,42.36823395739701
o,10,-71.04289661569679,42.332392747814076
o,11,-71.0539202764488,42.3385228529377
o,12,-71.08076948011816,42.332152989053306
o,13,-71.08800444178951,42.333319681144815
o,14,-71.06976049885371,42.31522945946766
o,15,-71.07081675524509,42.28178733815659
o,16,-70.84054079908131,42.17367831108269
o,17,-71.12724905837112,42.40002585772941
o,18,-71.10074050128252,42.37699721333725
o,19,-71.2378791756415,42.3694215218408
o,20,-71.20691820646698,42.42630862298789
o,21,-71.10964463770287,42.370804670975176
o,22,-71.05900664927641,42.42475115830418
o,23,-71.20434580575169,42.336707842340886
o,24,-71.43919733039776,42.35806979111684
o,25,-71.47645801857752,42.465294890659216
o,26,-71.58040492864417,42.39881968935663
o,27,-70.99067541917674,42.24629423090783
o,28,-71.30738193561909,42.301038075540674
o,29,-71.05954449886978,42.17866502517261
o,30,-71.1310016075988,42.337383751736105
o,31,-71.26817933937772,42.05575256346377
o,32,-71.07268883820173,42.3712292337259
o,33,-71.09337121298603,42.349170478357486
o,34,-71.09586417295432,42.34327617801896
o,35,-71.08388364744972,42.34971537477762
o,36,-70.88497224943137,42.54277172336844
o,37,-71.41498515498363,42.16303198798725
o,38,-71.43767713930448,42.07728689423274
o,39,-71.19071340195025,42.20059696907046
o,40,-71.11061658129604,42.42045025552907
o,41,-71.17910662418394,42.30276795518053
o,42,-71.17507073232545,42.361931186997865
o,43,-71.41550182612374,42.52060238655937
o,44,-71.08927790606784,42.39305334701344
o,45,-71.05987359413352,42.347736298859125
o,46,-70.99222651500577,42.413764062787344
o,47,-71.07163294298101,42.3463301734485
o,48,-71.29698552501048,42.46782278894701
