tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""25025100700""","""Boston-Cambridge-Newton, MA-NH""",5,4370,1921,299.27,43,51,58,29,36,40,14,15,18,5.91,48.47,1.36,1,1,14727,12448,14285,23,22,23,10595,9240,9623,7777,6775,6873,2103,1778,2039,715,688,711,482,464,480,8.7,9.6,11.5,6.42,53912,26,68571,89,4,425,591,1797,2339,1190,57,43
"""25025100800""","""Boston-Cambridge-Newton, MA-NH""",6,6716,2697,436.35,39,47,53,26,33,37,13,15,17,4.79,41.25,1.25,1,1,13407,11498,13025,31,30,32,10045,8868,9155,7160,6302,6314,1915,1642,1859,970,924,982,654,623,662,8.8,9.5,9.26,6.18,56206,22,63640,89,5,374,691,1639,1728,933,47,53
"""25025100900""","""Boston-Cambridge-Newton, MA-NH""",5,3975,1583,236.09,43,52,58,29,36,40,14,16,18,5.96,41.56,1.36,1,1,14312,12284,13894,28,27,28,10688,9426,9731,7767,6830,6873,2044,1754,1983,878,841,875,592,567,590,8.4,9.3,8.2,6.71,53808,33,53095,89,5,398,682,1810,2176,1416,54,46
"""25025101001""","""Boston-Cambridge-Newton, MA-NH""",6,5817,2182,320.31,40,48,54,26,32,36,14,16,18,3.88,30.53,1.39,1,1,14227,12250,13779,24,23,25,10719,9472,9746,7931,6999,7016,2032,1749,1967,756,724,764,510,488,515,8.4,9.2,10.59,6.81,51738,32,47302,89,5,322,671,1618,2078,871,43,57
"""25025101002""","""Boston-Cambridge-Newton, MA-NH""",3,4926,2011,287.94,29,35,39,18,22,25,13,15,17,4.68,32.71,1.24,1,1,12663,10840,12252,31,30,32,9891,8774,8971,7106,6292,6233,1808,1548,1749,977,935,989,659,630,667,9.2,9.3,10.42,6.98,55196,15,51539,89,6,345,652,1119,1485,900,30,70
"""25025101101""","""Boston-Cambridge-Newton, MA-NH""",3,3808,1103,93.84,37,45,51,24,30,34,13,14,17,6.33,74.95,1.25,1,1,13002,10960,12607,30,28,30,9921,8701,9009,7136,6250,6265,1857,1565,1800,929,885,944,626,597,636,9.3,9.3,11.84,11.75,59191,9,56439,89,5,396,651,1519,1043,1465,36,64
"""25025101102""","""Boston-Cambridge-Newton, MA-NH""",4,5146,1552,138.67,35,42,48,23,29,32,12,14,16,5.23,61.33,1.16,1,1,11797,9949,11383,35,33,35,9396,8274,8469,6625,5812,5743,1685,1421,1625,1086,1041,1101,733,702,742,9.5,9.3,12.58,11.19,57559,3,53774,89,4,485,568,1442,1346,1356,21,79
"""25025110103""","""Boston-Cambridge-Newton, MA-NH""",7,6557,2377,231.07,33,39,44,22,27,30,13,14,16,4.69,59.57,1.18,1,1,12566,10759,12186,33,32,34,9558,8430,8706,6725,5907,5902,1794,1536,1740,1039,987,1065,700,665,718,9.2,9.4,14.54,10.29,59048,15,68674,90,4,485,516,1365,1473,1150,39,61
"""25025110201""","""Boston-Cambridge-Newton, MA-NH""",1,2380,917,86.04,36,43,49,22,28,31,14,15,18,5.61,59.76,1.38,1,1,13552,11768,13138,22,21,22,10490,9223,9521,7874,6882,6947,1935,1680,1875,681,660,698,459,445,471,9.1,9.2,21.53,10.66,54860,25,52200,89,4,335,569,1407,1909,1145,34,66
"""25025110301""","""Boston-Cambridge-Newton, MA-NH""",2,2663,937,202.11,45,53,61,30,37,41,15,17,19,7.03,36.37,1.49,1,1,15383,13275,14999,19,18,20,11335,9966,10415,8534,7496,7654,2197,1896,2141,605,575,620,408,387,418,7.8,9.4,6.54,4.64,57561,48,60146,90,4,358,637,1857,2145,1183,70,30
